id,study_id,authors,first_author,title,short_title,journal,year,doi,source,search_date
145,Butt et al. (2025),"Butt U, Vuletic F, Shaikh MAA, Amanullah, Rehman GU, Shah IA, Stålman A, Khan ZA",Butt ,5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,5-yearsoutcomesfollowingarthroscopicante,Archives of Orthopaedic and Trauma Surgery,2025,10.1007/s00402-024-05639-1,Embase,2025-10-15
147,Soleymanha et al. (2025),"Soleymanha M, Soleymani Nejad A, Keyhani S, Vosoughi F, LaPrade RF, Tollefson LV",Soleymanha ,Peroneus longus tendon harvest for ACL reconstruction yields good functional outcome of the ankle: A systematic review and meta-Analysis,peroneuslongustendonharvestforaclreconst,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",2025,10.1002/ksa.70079,Embase,2025-10-15
148,Karapinar et al. (2025),"Karapinar SE, Tas A, Dincer APR, Atay PT, Baydar PML, Kumbul H",Karapinar ,An Evaluation of the Effect on Ankle Stability of the Peroneus Longus Tendon Graft Used in Anterior Cruciate Ligament Reconstruction,anevaluationoftheeffectonanklestabilityo,Orthopaedic Journal of Sports Medicine,2025,10.1177/23259671251371229,Embase,2025-10-15
151,Yuncu  (2025),Yuncu M,Yuncu ,Letter to the Editor: Comparison of peroneus longus tendon and hamstring tendon autografts in arthroscopic ACL reconstruction,lettertotheeditor:comparisonofperoneuslo,International Orthopaedics,2025,10.1007/s00264-025-06557-6,Embase,2025-10-15
152,Calvo et al. (2025),"Calvo Rodriguez R, Gonzalez Duque W, Figueroa Poblete D, Itriago M, Calvo Mena R, Isla Villanueva J",Calvo ,Effect of diameter reduction by compression on peroneus longus allograft integrity: A biomechanical analysis,effectofdiameterreductionbycompressionon,Journal of Orthopaedics,2025,10.1016/j.jor.2025.06.036,Embase,2025-10-15
157,Corrêa et al. (2025),"Corrêa VNM, Freire PGC, Paolucci PHO, Marques de Oliveira V, Mestriner MB, Guglielmetti LGB, de Paula L Cury R",Corrêa ,Combined Anterior Cruciate Ligament and Posterolateral Corner Reconstruction: Modified Technique Using a Single Femoral Tunnel Using Hamstrings and Peroneus Longus Tendon,combinedanteriorcruciateligamentandposte,Arthroscopy Techniques,2025,10.1016/j.eats.2025.103557,Embase,2025-10-15
159,Khalil & Zawam (2025),"Khalil MH, Zawam SH",Khalil ,Comparative study of Peroneus longus tendon autograft versus Hamstring tendon autograft in arthroscopic anterior cruciate ligament reconstruction,comparativestudyofperoneuslongustendonau,International Orthopaedics,2025,10.1007/s00264-025-06468-6,Embase,2025-10-15
160,Hinz et al. (2025),"Hinz N, Müller MM, Eggeling L, Drenck T, Breer S, Kowald B, Frosch K-H, Akoto R",Hinz ,MCL augmentation using a peroneus longus split tendon autograft satisfactorily restores knee stability with no impairment in foot function and with a low failure rate for concurrent ACL reconstruction,mclaugmentationusingaperoneuslongussplit,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",2025,10.1002/ksa.12522,Embase,2025-10-15
161,Jorge et al. (2025),"Jorge PB, Toledo MB, Malpaga JMD, Helito CP, Canuto SMDG, Padua VBCD, Oliveira DED",Jorge ,Anterior Cruciate Ligament Reconstruction and Double Extra-Articular Reinforcement,anteriorcruciateligamentreconstructionan,Arthroscopy Techniques,2025,10.1016/j.eats.2025.103456,Embase,2025-10-15
165,Chen et al. (2025),"Chen C, Jing Z, Li Z, Hu M, Bei C, Xin L",Chen ,Comparative efficacy of different lengths of anterior cruciate ligament stump during reconstruction with peroneus longus tendon,comparativeefficacyofdifferentlengthsofa,BMC surgery,2025,10.1186/s12893-025-02913-w,Embase,2025-10-15
166,Velioğlu et al. (2025),"Velioğlu K, Öner K, Aslan FG, Okutan AE, Kerimoğlu S, Turhan AU",Velioğlu ,Harvesting the Full Thickness Peroneus Longus Tendon Is Not Associated With Structural Foot Impairments: A 12- to 23-Year Follow-up Study,harvestingthefullthicknessperoneuslongus,Orthopaedic Journal of Sports Medicine,2025,10.1177/23259671251320659,Embase,2025-10-15
