id,study_id,authors,first_author,title,short_title,journal,year,doi,source,search_date
8,Jorge et al. (2025),"Jorge PB, Toledo MB, Malpaga JMD, Helito CP, Canuto SMG, Padua VBC, Oliveira DE",Jorge ,Anterior Cruciate Ligament Reconstruction and Double Extra-Articular Reinforcement,anteriorcruciateligamentreconstructionan,Arthrosc Tech,2025,10.1016/j.eats.2025.103456,PubMed/MEDLINE,2025-10-12
12,Pugazhendhi et al. (2025),"Pugazhendhi G, Aravindan M, Kumar MN, Shankaran GBS",Pugazhendhi ,Comprehensive Arthroscopic Management of Multi-ligament Knee Injury: A Case Report,comprehensivearthroscopicmanagementofmul,J Orthop Case Rep,2025,10.13107/jocr.2025.v15.i05.5608,PubMed/MEDLINE,2025-10-12
13,Velioğlu et al. (2025),"Velioğlu K, Öner K, Aslan FG, Okutan AE, Kerimoğlu S, Turhan AU",Velioğlu ,Harvesting the Full Thickness Peroneus Longus Tendon Is Not Associated With Structural Foot Impairments: A 12- to 23-Year Follow-up Study,harvestingthefullthicknessperoneuslongus,Orthop J Sports Med,2025,10.1177/23259671251320659,PubMed/MEDLINE,2025-10-12
17,Gupta et al. (2025),"Gupta VK, Mahesan H, Murali V, Jeganathan P, Perumal S, Sivaraman A",Gupta ,Ipsilateral Autologous Peroneus Longus and Bone Patellar Tendon Graft for Revision Anterior Cruciate Ligament Reconstruction Leads to Similar Functional Outcome,ipsilateralautologousperoneuslongusandbo,J Orthop Case Rep,2025,10.13107/jocr.2025.v15.i04.5506,PubMed/MEDLINE,2025-10-12
20,Held et al. (2024),"Held M, North D, von Bormann R, Scheepers W",Held ,Surgical Technique of Single-Graft Double-Bundle Posterior Cruciate Ligament Reconstruction Using the Peroneus Longus Tendon,surgicaltechniqueofsingle-graftdouble-bu,Arthrosc Tech,2024,10.1016/j.eats.2024.103169,PubMed/MEDLINE,2025-10-12
25,Gandhi et al. (2024),"Gandhi MP, Patel NKR, Shah KK, Shah RM, Shah MD",Gandhi ,A Study on Clinical and Functional Outcomes of Arthroscopic Anterior Cruciate Ligament Reconstruction Using Hamstring versus Peroneus graft,astudyonclinicalandfunctionaloutcomesofa,J Orthop Case Rep,2024,10.13107/jocr.2024.v14.i12.5076,PubMed/MEDLINE,2025-10-12
29,Pilar et al. (2024),"Pilar A, Gm S, Nedumparampil MM, Kodi H, Amravathi R, Muniswamy MM",Pilar ,Evaluating the Efficacy of Peroneus Longus Tendon as an Autograft for Anterior Cruciate Ligament Reconstruction in Indian Female Patients: A Prospective Cohort Study,evaluatingtheefficacyofperoneuslongusten,Cureus,2024,10.7759/cureus.71665,PubMed/MEDLINE,2025-10-12
30,Arora et al. (2024),"Arora M, Tapasvi S, Shukla T, Jani C",Arora ,Lower Limb Length and Body Weight are Surrogate Predictors of Peroneus Longus Autograft Diameter,lowerlimblengthandbodyweightaresurrogate,Indian J Orthop,2024,10.1007/s43465-024-01266-5,PubMed/MEDLINE,2025-10-12
31,Asif et al. (2024),"Asif N, Khan MJ, Singhal U, Anwer A, Firoz MA, Rashid M",Asif ,Randomized Controlled Study Comparing Hamstring Graft and Peroneus Longus Tendon Graft in Arthroscopic ACL Reconstruction,randomizedcontrolledstudycomparinghamstr,J Orthop Case Rep,2024,10.13107/jocr.2024.v14.i11.4980,PubMed/MEDLINE,2025-10-12
32,Moreira et al. (2024),"Moreira da Silva AG, de Almeida AM, Helito CP, Pedrinelli A",Moreira ,Acute compartment syndrome of the leg following peroneus longus tendon graft harvesting: a case report,acutecompartmentsyndromeofthelegfollowin,J ISAKOS,2024,10.1016/j.jisako.2024.100360,PubMed/MEDLINE,2025-10-12
34,Hinz et al. (2025),"Hinz N, Müller MM, Eggeling L, Drenck T, Breer S, Kowald B, Frosch KH, Akoto R",Hinz ,MCL augmentation using a peroneus longus split tendon autograft satisfactorily restores knee stability with no impairment in foot function and with a low failure rate for concurrent ACL reconstruction,mclaugmentationusingaperoneuslongussplit,Knee Surg Sports Traumatol Arthrosc,2025,10.1002/ksa.12522,PubMed/MEDLINE,2025-10-12
37,Shetty et al. (2024),"Shetty SB, Prabhakar PH, Kajava P V, Rao HK, Sarma M K L",Shetty ,Arthroscopic Reconstruction of Injured Anterior Cruciate Ligament Using Peroneus Longus Graft With Fixed Loop Endobutton - A Prospective Study,arthroscopicreconstructionofinjuredanter,J Orthop Case Rep,2024,10.13107/jocr.2024.v14.i10.4872,PubMed/MEDLINE,2025-10-12
38,Yağar et al. (2024),"Yağar H, Cinaroglu S, Çiçek F, Ceranoğlu F, Karadağ H",Yağar ,Examination of the Tensile Strength of the Peroneus Longus Muscle,examinationofthetensilestrengthofthepero,Cureus,2024,10.7759/cureus.66683,PubMed/MEDLINE,2025-10-12
39,Farey et al. (2024),"Farey JE, Salmon LJ, Roe JP, Russell V, Sundaraj K, Pinczewski LA",Farey ,Outcomes of ACL Reconstruction Utilizing Supercritical CO(2)-Sterilized Allografts,outcomesofaclreconstructionutilizingsupe,Orthop J Sports Med,2024,10.1177/23259671241254115,PubMed/MEDLINE,2025-10-12
42,Punnoose et al. (2024),"Punnoose DJ, Varghese J, Theruvil B, Thomas AB",Punnoose ,"Peroneus Longus Tendon Autografts have Better Graft Diameter, Less Morbidity, and Enhanced Muscle Recuperation than Hamstring Tendon in ACL Reconstruction",peroneuslongustendonautograftshavebetter,Indian J Orthop,2024,10.1007/s43465-024-01185-5,PubMed/MEDLINE,2025-10-12
44,Dwidmuthe et al. (2024),"Dwidmuthe S, Roy M, Bhikshavarthi Math SA, Sah S, Bhavani P, Sadar A",Dwidmuthe ,"Functional Outcome of Single-Bundle Arthroscopic Anterior Cruciate Ligament Reconstruction using Peroneus Longus Graft and Hamstring Graft: An Open-Label, Randomized, Comparative Study",functionaloutcomeofsingle-bundlearthrosc,Cureus,2024,10.7759/cureus.60239,PubMed/MEDLINE,2025-10-12
45,Blanke et al. (2024),"Blanke F, Boljen M, Oehler N, Lutter C, Tischer T, Vogt S",Blanke ,An anteromedial stabilization procedure has the most protective effect on the anterior cruciate ligament in tibial external rotation. A human knee model study,ananteromedialstabilizationprocedurehast,Arch Orthop Trauma Surg,2024,10.1007/s00402-024-05357-8,PubMed/MEDLINE,2025-10-12
47,Tonape et al. (2024),"Tonape PB, Kishore J, Kopparthi RM, Tonape T, Bhamare DS, Desireddy S",Tonape ,Clinico-radiological outcome of Arthroscopic Anterior Cruciate Ligament Reconstruction with Augmentation of Dehydrated Human Amnion Chorion Allograft Membrane using Peroneus Longus Autograft,clinico-radiologicaloutcomeofarthroscopi,Malays Orthop J,2024,10.5704/MOJ.2403.005,PubMed/MEDLINE,2025-10-12
49,Soni et al. (2024),"Soni S, Brahmbhatt V, Tolani M, Soni H, Pathan SR, Shroff M, Sharma KB",Soni ,Functional Outcomes in Anterior Cruciate Ligament (ACL) Reconstruction: A Nine-Month Follow-up Study Using Lysholm Score in a Rural Tertiary Care Center in India,functionaloutcomesinanteriorcruciateliga,Cureus,2024,10.7759/cureus.53480,PubMed/MEDLINE,2025-10-12
52,da et al. (2023),"da Silva AGM, Macedo RS, Souza MO, Giglio PN, Videira LD, Gobbi RG, Godoy Dos Santos AL, Helito CP",da ,Combined Anterior Cruciate Ligament and Anterolateral Ligament Reconstruction Using a Single Peroneus Longus Tendon Graft,combinedanteriorcruciateligamentandanter,Arthrosc Tech,2023,10.1016/j.eats.2023.08.028,PubMed/MEDLINE,2025-10-12
59,Franciozi et al. (2023),"Franciozi CE, Mameri ES, Schumacher FC, Credidio MV, Kubota MS, Luzo MV",Franciozi ,Full-Thickness Peroneus Longus Tendon Autograft Harvest,full-thicknessperoneuslongustendonautogr,Video J Sports Med,2023,10.1177/26350254231195093,PubMed/MEDLINE,2025-10-12
61,Xu et al. (2023),"Xu C, Mi Z, Dong Z, Chen X, Ji G, Kang H, Li K, Zhao B, Wang F",Xu ,Platelet-Derived Exosomes Alleviate Knee Osteoarthritis by Attenuating Cartilage Degeneration and Subchondral Bone Loss,platelet-derivedexosomesalleviatekneeost,Am J Sports Med,2023,10.1177/03635465231188122,PubMed/MEDLINE,2025-10-12
