id,study_id,authors,first_author,title,short_title,journal,year,doi,source,search_date
88,Goyal et al. (2023),"Goyal T, Paul S, Choudhury AK, Sethy SS",Goyal ,Full-thickness peroneus longus tendon autograft for anterior cruciate reconstruction in multi-ligament injury and revision cases: outcomes and donor site morbidity,full-thicknessperoneuslongustendonautogr,Eur J Orthop Surg Traumatol,2023,10.1007/s00590-021-03145-3,PubMed/MEDLINE,2025-10-12
89,Gökler et al. (2021),"Gökler DJ, Faragó D, Szebényi G, Kiss RM, Pap K",Gökler ,The effect of sterilization and storage on the viscoelastic properties of human tendon allografts,theeffectofsterilizationandstorageonthev,J Biomech,2021,10.1016/j.jbiomech.2021.110697,PubMed/MEDLINE,2025-10-12
163,Rehncy et al. (2025),"Rehncy JS, Bakshi AS, Mangoch R, Sahni G, Mehta H, Seth A, Kumar H, Kumar A",Rehncy ,A PROSPECTIVE STUDY OF ARTHROSCOPIC PRIMARY ACL RECONSTRUCTION WITH IPSILATERAL PERONEUS LONGUS TENDON GRAFT,aprospectivestudyofarthroscopicprimaryac,International Journal of Current Pharmaceutical Research,2025,10.22159/ijcpr.2025v17i3.55049,Embase,2025-10-15
345,Aguila et al. (2016),"Aguila C, Delcroix GJ-R, Kaimrajh D, Milne E, Temple HT, Latta LL",Aguila ,Effects of gamma irradiation on the biomechanical properties of peroneus tendons,effectsofgammairradiationonthebiomechani,Journal of Orthopaedic Research,2016,10.1002/jor.23247,Embase,2025-10-15
371,Kerimoǧlu et al. (2008),"Kerimoǧlu S, Aynaci O, Saraçoǧlu M, Aydin H, Turhan AU",Kerimoǧlu ,Anterior cruciate ligament reconstruction with the peroneus longus tendon,anteriorcruciateligamentreconstructionwi,Acta orthopaedica et traumatologica turcica,2008,10.3944/AOTT.2008.42.1.038,Embase,2025-10-15
96,Ertogrul et al. (2021),"Ertogrul R, Varol A, Oc Y, Kilinc BE",Ertogrul ,Is Peroneus Longus Allograft Good Alternative for Anterior Cruciate Ligament Reconstruction: a Comparison Study,isperoneuslongusallograftgoodalternative,Acta Chir Orthop Traumatol Cech,2021,,PubMed/MEDLINE,2025-10-12
187,Alardi et al. (2024),"Alardi I, Kadhim A, Aljanabi A",Alardi ,PERONEUS LONGUS AUTOGRAFT IN ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION AS ALTERNATIVE GRAFT OPTION,peroneuslongusautograftinanteriorcruciat,Georgian medical news,2024,,Embase,2025-10-15
222,Adusumalli et al. (2023),"Adusumalli VK, Hussain RS, Rao VN, Kumar NR, Vinmaie P",Adusumalli ,"Reconstruction of Anterior Cruciate Ligament with Autologous Peroneus Longus Tendon Graft: A Prospective Study in Tertiary Care Hospital, Rajahmundry, Andhra Pradesh",reconstructionofanteriorcruciateligament,European Journal of Molecular and Clinical Medicine,2023,,Embase,2025-10-15
267,Shair et al. (2022),"Shair NA, Siddiq UAB, Tariq A, Khalid M, Mian MH",Shair ,Anterior cruciate ligament reconstruction with hamstring tendon auto grafts versus peroneus longus tendon auto grafts in isolated anterior cruciate ligament injury,anteriorcruciateligamentreconstructionwi,Rawal Medical Journal,2022,,Embase,2025-10-15
284,Khan et al. (2021),"Khan MJ, Asif N, Firoz D, Khan AQ, Sabir AB, Siddiqui YS",Khan ,Prediction of peroneus longus graft diameter for anterior cruciate ligament reconstruction by inframalleolar harvest and from anthropometric data,predictionofperoneuslongusgraftdiameterf,International Journal of Burns and Trauma,2021,,Embase,2025-10-15
292,Kumar et al. (2020),"Kumar R, Singh B, Gautam A",Kumar ,Single bundle ACL Reconstruction with Peroneus Longus Tendon Autograft: A short-term study,singlebundleaclreconstructionwithperoneu,European Journal of Molecular and Clinical Medicine,2020,,Embase,2025-10-15
315,Li et al. (2018),"Li J, Zheng L, Shi LJ, Xu J, Shu JL, Zhang XW",Li ,Increased serum soluble-endoglin level and its clinical significance in antiphospholipid syndrome,increasedserumsoluble-endoglinlevelandit,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,2018,,Embase,2025-10-15
351,Angthong et al. (2015),"Angthong C, Chernchujit B, Apivatgaroon A, Chaijenkit K, Nualon P, Suchao-In K",Angthong ,The anterior cruciate ligament reconstruction with the peroneus longus tendon: A biomechanical and clinical evaluation of the donor ankle morbidity,theanteriorcruciateligamentreconstructio,Journal of the Medical Association of Thailand,2015,,Embase,2025-10-15
369,Zhai et al. (2010),"Zhai WL, Li D, Lian KJ",Zhai ,Tunnel enlargement after anterior cruciate ligament reconstruction with peroneus longus muscle combined with BMP and allogeneic bone,tunnelenlargementafteranteriorcruciateli,Zhongguo gu shang = China journal of orthopaedics and traumatology,2010,,Embase,2025-10-15
376,Shino et al. (1995),"Shino K, Oakes BW, Horibe S, Nakata K, Nakamura N, Indelicato PA",Shino ,Collagen fibril populations in human anterior cruciate ligament allografts. Electron microscopic analysis,collagenfibrilpopulationsinhumananterior,American Journal of Sports Medicine,1995,,Embase,2025-10-15
