PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40980562","Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies","Kumar K, Rao V, Panda AK, Joshi D.","Orthop J Sports Med. 2025 Sep 17;13(9):23259671251374313. doi: 10.1177/23259671251374313. eCollection 2025 Sep.","Kumar K","Orthop J Sports Med","2025","2025/09/22","PMC12444037","","10.1177/23259671251374313"
"40734172","Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies","Opoku M, Abdramane AM, Abdirahman A, Fang M, Li Y, Xiao W.","J Orthop Surg Res. 2025 Jul 29;20(1):719. doi: 10.1186/s13018-025-06080-9.","Opoku M","J Orthop Surg Res","2025","2025/07/30","PMC12308993","","10.1186/s13018-025-06080-9"
"39170663","Peroneus Longus Graft Harvest Does Not Affect Ankle Biomechanics: A Narrative Review","Manit A, Rohit R, Abhishek K, Shukla T.","Indian J Orthop. 2024 Jul 4;58(9):1206-1212. doi: 10.1007/s43465-024-01219-y. eCollection 2024 Sep.","Manit A","Indian J Orthop","2024","2024/08/22","PMC11333782","","10.1007/s43465-024-01219-y"
"38755499","Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction: a comprehensive systematic review and meta analysis","Park JY, Fernandes A, Park SY, Lim H, Sayudo IF, Leibovitch L, Machinski E, Ha J.","Eur J Orthop Surg Traumatol. 2024 Jul;34(5):2691-2699. doi: 10.1007/s00590-024-03984-w. Epub 2024 May 16.","Park JY","Eur J Orthop Surg Traumatol","2024","2024/05/16","PMC11291530","","10.1007/s00590-024-03984-w"
"38488226","Platelet-rich plasma augmentation in anterior cruciate ligament reconstruction: Evidence is still too scattered. A scoping review of randomised controlled trials","Delcogliano M, Sangiorgio A, Bensa A, Andriolo L, Boffa A, Filardo G.","Knee Surg Sports Traumatol Arthrosc. 2024 May;32(5):1143-1159. doi: 10.1002/ksa.12127. Epub 2024 Mar 15.","Delcogliano M","Knee Surg Sports Traumatol Arthrosc","2024","2024/03/15","","","10.1002/ksa.12127"
"38356688","The role of peroneus longus (PL) autograft in the reconstruction of anterior cruciate ligament (ACL): A comprehensive narrative review","Viswanathan VK, Iyengar KP, Jain VK.","J Clin Orthop Trauma. 2024 Feb 1;49:102352. doi: 10.1016/j.jcot.2024.102352. eCollection 2024 Feb.","Viswanathan VK","J Clin Orthop Trauma","2024","2024/02/15","PMC10862405","","10.1016/j.jcot.2024.102352"
"38009168","There is a Minimal Difference in Ankle Functional Outcomes After Peroneus Longus Harvest: Systematic Review and Meta-analysis","Saoji A, Arora M, Jain G, Shukla T.","Indian J Orthop. 2023 Sep 12;57(12):1993-1999. doi: 10.1007/s43465-023-00982-8. eCollection 2023 Dec.","Saoji A","Indian J Orthop","2023","2023/11/27","PMC10673779","","10.1007/s43465-023-00982-8"
"37898307","Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction: A Systematic Review","Quinn M, Byrne RA, Albright JA, Testa E, Ahn B, Lemme N, Petit L, Blankenhorn B, Owens BD.","Arthroscopy. 2024 Apr;40(4):1366-1376.e1. doi: 10.1016/j.arthro.2023.10.016. Epub 2023 Oct 26.","Quinn M","Arthroscopy","2024","2023/10/28","","","10.1016/j.arthro.2023.10.016"
"35460407","Hamstring, bone-patellar tendon-bone, quadriceps and peroneus longus tendon autografts for primary isolated posterior cruciate ligament reconstruction: a systematic review","Migliorini F, Pintore A, Vecchio G, Oliva F, Hildebrand F, Maffulli N.","Br Med Bull. 2022 Jul 9;142(1):23-33. doi: 10.1093/bmb/ldac010.","Migliorini F","Br Med Bull","2022","2022/04/23","PMC9351477","","10.1093/bmb/ldac010"
"35428007","Biomechanical properties of common graft choices for anterior cruciate ligament reconstruction: A systematic review","Malige A, Baghdadi S, Hast MW, Schmidt EC, Shea KG, Ganley TJ.","Clin Biomech (Bristol). 2022 May;95:105636. doi: 10.1016/j.clinbiomech.2022.105636. Epub 2022 Apr 1.","Malige A","Clin Biomech (Bristol)","2022","2022/04/15","","","10.1016/j.clinbiomech.2022.105636"
"34006580","Insufficient evidence to support peroneus longus tendon over other autografts for primary anterior cruciate ligament reconstruction: a systematic review","Marín Fermín T, Hovsepian JM, Symeonidis PD, Terzidis I, Papakostas ET.","J ISAKOS. 2021 May;6(3):161-169. doi: 10.1136/jisakos-2020-000501. Epub 2020 Dec 23.","Marín Fermín T","J ISAKOS","2021","2021/05/19","","","10.1136/jisakos-2020-000501"
"32984919","Peroneus longus tendon autograft has functional outcomes comparable to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis","He J, Tang Q, Ernst S, Linde MA, Smolinski P, Wu S, Fu F.","Knee Surg Sports Traumatol Arthrosc. 2021 Sep;29(9):2869-2879. doi: 10.1007/s00167-020-06279-9. Epub 2020 Sep 27.","He J","Knee Surg Sports Traumatol Arthrosc","2021","2020/09/28","","","10.1007/s00167-020-06279-9"
