Title,Original Title,Author Names,Source,Publication Year,Date of Publication,Abstract,Original Abstract,Medline PMID,DOI
5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,,"Butt U., Vuletic F., Shaikh M.A.A., Amanullah, Rehman G.U., Shah I.A., Stålman A., Khan Z.A.",Archives of Orthopaedic and Trauma Surgery (2025) 145:1 Article Number: 85. Date of Publication: 1 Dec 2025,2025,1-Dec-25,"Aims: This study presents clinical outcomes, functional results, and return to sports after anterior cruciate ligament (ACL) reconstruction using quadruple hamstring tendon autograft or peroneus longus tendon autograft in a randomized controlled trial. Patients and methods: Between February 2018 and July 2019, patients who underwent ACL reconstruction were randomly assigned to two groups: hamstring and peroneus longus. Patient related outcome measurements and pain intensity were evaluated using IKDC, Lysholm, and visual analog scores at 3 and 6 months, 1, 2, and 5 years after the surgery. At the 5 year follow-up, anterior stability was tested using the 3D printable Knee Arthrometer. In addition, in the peroneus longus group, ankle functional assessment was performed using the American foot and ankle score. Additionally, data on the return to sports/activities was collected for both groups at the last follow-up. Results: Sixty patients, with 30 in the hamstring group and 30 in the peroneus group, were included in the study. Patients were predominately male and with low activity demands. After five years of follow-up, there was no significant difference in functional assessment scores (IKDC and Lysholm) between the two groups (P n.s). The median graft diameter was 7.9 ± 0.4 mm in the hamstring tendon group and 8.9 ± 0.2 mm in the PL group (P < 0.001). The improvement in Arthrometer testing measurements (AMT) for the operated knees in the hamstring and peroneus longus groups were similar. In the peroneus longus group, the mean postoperative foot and ankle score was 98.6 ± 3.9 (range = 85–100). Conclusion: Using Peroneus longus tendon autograft for arthroscopic ACL reconstruction is a feasible alternative as studied in this cohort of predominately male patients with low activity demands. The graft diameter in this study was sufficient, and the results regarding laxity and patient related outcome measurements were similar to those achieved with hamstring tendon autografts. Level of evidence: Level I Trial registration: ChiCTR2000036989",,39714511,10.1007/s00402-024-05639-1
Peroneus longus a surgical ally: bilateral and sex based morphometric cadaveric study of its muscle and tendon,,"Jabeen A., Makker C., Sharmeen M., Baogi Z., Fathima A.L.",International Journal of Life Sciences Biotechnology and Pharma Research (2025) 14:10 (147-154). Date of Publication: 1 Oct 2025,2025,1-Oct-25,"The Peroneus longus muscle plays an important role in ankle stability and is increasingly utilized as a tendon graft in reconstructive surgeries, including anterior cruciate ligament (ACL) reconstruction and ankle stabilization surgeries. Despite its clinical significance, morphometric data comparing right and left limbs and sex-based variations remain limited. This study aims to evaluate the morphometry of the Peroneus longus muscle and tendon in cadavers and its relationship with anthropometric parameters. Methods: A total of 38 independent human cadaveric lower limbs (22 Male, 16 Female; 18 Right, 20 left) were dissected. Measurements recorded included length of lower limb, length of thigh, length of leg, total muscle length, tendon length, and tendon width. Descriptive statistics were calculated. Comparisons were made between sexes and sides using independent sample t-tests. Correlations with anthropometric measures were assessed using Pearson’s correlation and linear regression where the regression models were adjusted for gender and side. Significance was set at p < 0.05. Results: The mean length of the Peroneus longus muscle was 36.44 ± 2.66 cm, tendon length was 9.83 ± 2.48 cm, and tendon width was 6.19 ± 0.87 mm. Male cadavers demonstrated significantly greater tendon width compared to female cadavers (p < 0.05). No significant difference was found between right and left limbs for most parameters, although minor asymmetry was observed in tendon length. The Peroneus longus muscle was significantly longer in males than females (p < 0.05). No significant side-to-side differences were observed. Multivariable regression analyses were performed with adjustment for sex and side. Peroneus longus muscle length showed a strong positive relationship with leg length (β = 0.670, 95% CI: 0.341–0.998, p < 0.001) and thigh length (β = 0.382, 95% CI: 0.054–0.710, p = 0.024) when examined separately. In the mutually adjusted model, leg length remained the only significant predictor of Peroneus Longus muscle length (β = 0.563, 95% CI: 0.138–0.988, p = 0.011).For tendon outcomes, thigh length was positively associated with Peroneus Longus tendon thickness, both in univariable analysis (β = 0.133, 95% CI: 0.017–0.248, p = 0.026) and in the multivariable model. Conclusion: This study provides baseline morphometric data for the Peroneus longus muscle and its tendon, highlighting sexual dimorphism and anthropometric predictors of its morphometry, reinforcing its reliability as a tendon graft. Leg length predicts muscle length, while thigh length predicts tendon thickness, providing clinically useful preoperative markers.",,,10.69605/ijlbpr_14.10.2025.26
Peroneus longus tendon harvest for ACL reconstruction yields good functional outcome of the ankle: A systematic review and meta-Analysis,,"Soleymanha M., Soleymani Nejad A., Keyhani S., Vosoughi F., LaPrade R.F., Tollefson L.V.","Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA (2025). Date of Publication: 30 Sep 2025",2025,30-Sep-25,"PURPOSE: The peroneus longus tendon (PLT) has emerged as a promising autograft option for anterior cruciate ligament (ACL) reconstruction, but concerns persist regarding donor-site morbidity and ankle functional outcomes. This systematic review and meta-analysis aimed to evaluate ankle performance following PLT harvest for ACL reconstruction. METHODS: This systematic review and meta-analysis performed by searching five databases (PubMed, Embase, Web of Science, Scopus, and the Cochrane Library) up to March 2025. Inclusion criteria included: ACL reconstruction using PLT autograft, ≥6-month follow-up, and validated ankle outcomes (American Orthopaedic Foot And Ankle Society [AOFAS]/Foot and Ankle Disability Index [FADI] scores). Pooled effect sizes were calculated using random-effects models using R software (version 4.4.3). Heterogeneity was assessed via I² statistics, and risk of bias was evaluated using JBI checklists. RESULTS: Twenty articles (1024 patients) were identified, comprising eleven prospective cohort studies and nine randomised clinical trials (RCT), based on title, abstract, and quality assessments. Meta-analysis demonstrated excellent postoperative ankle function, with pooled AOFAS scores of 96.0 (95% confidence interval [CI]: 92.6-99.3) at 6 months, 96.1 (93.9-98.2) at 12 months, and 97.2 (93.9-100.6) at 24 months. FADI scores similarly improved to 97.4 (96.0-98.9) by 6 months and 99.4 (98.7-100.1) at 24 months. Meta-regression revealed no significant association between age and AOFAS outcomes (β = -0.23, p = 0.36). Minor complications (e.g., transient hypaesthesia) occurred in 13%-23% of patients but resolved within months. No studies reported major nerve injuries or ankle instability. CONCLUSION: Peroneus longus tendon harvest for ACL reconstruction yields minimal donor-site morbidity, with consistently high AOFAS/FADI scores across all age groups. These findings support the safety of PLT autografts, though heterogeneity is evident, and the predominance of male participants and the regional focus of studies, mainly Asian populations, may affect generalisability.Level II.",,41025611,10.1002/ksa.70079
An Evaluation of the Effect on Ankle Stability of the Peroneus Longus Tendon Graft Used in Anterior Cruciate Ligament Reconstruction,,"Karapinar S.E., Tas A., Dincer A.P.R., Atay P.T., Baydar P.M.L., Kumbul H.",Orthopaedic Journal of Sports Medicine (2025) 13:9 Article Number: 23259671251371229. Date of Publication: 1 Sep 2025,2025,1-Sep-25,"Background: Previous studies have focused on the effect of the peroneus longus tendon graft on the knee; in this study, we focused on its impact on the ankle. Injuries to the anterior cruciate ligament (ACL) are frequently observed in sports injuries. The peroneus longus tendon graft has rapidly gained a place in the literature; however, very few studies have been conducted on the foot-ankle region stability of this tendon. Purpose: To investigate the effect on this region of the peroneus longus tendon graft used in anterior cruciate ligament reconstruction (ACLR). Study Design: Case series, Level of evidence 4. Methods: The study included 20 out of 35 patients who met the inclusion criteria and had ACLR using a peroneus longus tendon graft at the same orthopaedics and traumatology clinic between January and December 2023. The demographic characteristics of the patients were recorded. Ankle strength measurements were performed, and all the patients were tested with the Y test, the flamingo test, the eyes closed balance test, and the standing on tiptoes test. The Foot and Ankle Disability Index and the American Orthopedic Foot and Ankle Score were recorded. Results: The dynamometer measurements of the donor side and the contralateral side were compared. No statistically significant difference was determined between the 2 sides with respect to the ankle eversion and plantar flexion strength measurements (P = .096, P = .835, respectively). A significant result was obtained in the flamingo test (P = .049). No statistically significant difference was determined between the 2 sides with respect to the anterior, posterior, and lateral distances of the Y test (78.8 vs 78.6 cm, P = .973; 96.6 vs 80.4 cm, P = .053; 89.5 vs 95.0 cm, P = .357, respectively). In the examination of ankle functionality, no statistically significant difference was determined in the Foot and Ankle Disability Index and the American Orthopedic Foot and Ankle Score of the 2 sides (P = .798, P = .206, respectively). Conclusion: The peroneus longus tendon can be safely used as an alternative autograft in ACLR without causing donor site morbidity. There may be a deficit in balance test performance.",,,10.1177/23259671251371229
Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies,,"Kumar K., Rao V., Panda A.K., Joshi D.",Orthopaedic Journal of Sports Medicine (2025) 13:9 Article Number: 23259671251374313. Date of Publication: 1 Sep 2025,2025,1-Sep-25,"Background: Anterior cruciate ligament reconstruction (ACLR) is a common orthopaedic procedure for which various graft options can be used. This systematic review and meta-analysis aimed to compare the efficacy of the peroneus longus tendon (PLT) and hamstring tendon (HT) autografts for primary ACLR. Hypothesis: There would be no significant difference in patient outcomes between PLT and HT autografts in ACLR. Study Design: Systematic review; Level of evidence, 3. Methods: Adhering to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, a thorough literature search was conducted on February 10, 2024, across the PubMed, Cochrane CENTRAL, and Scopus databases. The aim was to identify comparative studies investigating the effectiveness of PLT and HT autografts for primary ACLR. The initial literature search retrieved 96 studies. Ten studies met the eligibility criteria for inclusion. Data analysis was performed using RevMan Version 5.4.1. Functional scores, graft characteristics, donor site morbidity, and failure rates were compared. Results: Ten studies involving 949 patients were included. Both the PLT and HT groups showed comparable functional outcomes, knee stability, and graft failure rates. PLT autografts demonstrated a larger mean graft diameter (8.63 mm vs 8.08 mm) and lower incidence of donor site morbidity (7.48% vs 22.01%) than HT autografts. There was a statistically significant mean difference (MD) favoring PLT autografts in the modified Cincinnati score (MD, 3.33; 95% CI, 1.84 to 4.81; P &lt; .0001) and thigh circumference (MD, –7.62 mm; 95% CI, –8.90 to −6.33; P &lt; .00001). Conclusion: This review showed that both PLT and HT autografts are effective options for primary ACLR, with similar functional outcomes and knee stability. PLT autografts offer advantages in terms of graft diameter and donor site morbidity. Further research is warranted to confirm these findings and guide clinical decision-making in ACLR practice.",,,10.1177/23259671251374313
Comparative study of three-in-one procedure versus combined anterior cruciate ligament and anterolateral structure reconstruction for revision of anterior cruciate ligament reconstruction,"""三合一""重建与ACL联合前外侧结构重建治疗ACL重建失效的对比研究","Lu S., Ye Z., Zhao J.",Chinese Journal of Orthopaedics (2025) 45:16 (1040-1048). Date of Publication: 16 Aug 2025,2025,16-Aug-25,"Objective To compare the clinical efficacy of three-in-one procedure versus combined anterior cruciate ligament (ACL) and anterolateral structure (ALS) reconstruction in patients with ACL reconstruction failure. Methods A total of 32 patients who underwent revision ACL reconstruction from January 2020 to March 2023 were included. The ipsilateral semitendinosus tendon, gracilis tendons, and the anterior half of the ipsilateral peroneus longus tendon, were harvested to constitute the autograft. In patients in whom the ipsilateral semitendinosus and gracilis tendons were unavailable, the bilateral anterior halves of the peroneus longus tendons were utilised. The ACL+ALS group, with bigger transplant graft (diameter >8 mm, n=17; males 13, females 4; mean age 28.29±7.90 years), ACL combined with ALS reconstruction were performed. The three-in-one group (n=15; males 8, females 7; mean age 29.53±6.73 years) underwent additional iliotibial band (ITB) transposition for grafts with diameter <8 mm (excluding ITB). Operative time, intraoperative blood loss, and graft dimensions were compared. Graft healing was evaluated via postoperative MRI. Knee stability was evaluated via the Lachman test. Lysholm knee score, International Knee Documentation Committee (IKDC) score, knee injury and osteoarthritis outcome score (KOOS), and Tegner activity scale were compared preoperatively, 6-months postoperatively, and 12-months postoperatively, to assess knee function recovery. Results Surgical parameters revealed that the ACL+ALS group had an operative time of 47.82±9.32 min, blood loss of 29.00±6.99 ml, graft diameter of 8.77±0.69 mm; three-in-one group had an operative time of 57.47±10.06 min, blood loss of 36.33±6.99 ml, graft diameter of 8.53±0.52 mm. Although graft diameter showed no significant intergroup difference (t=1.065, P>0.05), the three-in-one group showed significantly longer operative times and greater blood loss (t=2.815, P=0.009; t=2.746, P=0.010). The average follow-up time of the ACL+ALS group was 19.47±5.25 months (range, 12-28 months), whereas the three-in-one group was 20.40±6.50 months (range, 12-32 months). Postoperative MRI showed continuous and homogeneous graft signals in both groups at 6 and 12 months. Lachman test showed negative in 15 cases, grade I in 2 cases in the ACL+ALS group; and negative in 14 cases, grade I in 1 case in the three-in-one group. Both groups exhibited significant improvement from preoperative status (P<0.001), with no intergroup difference (P=1.000). Functional scores revealed that both groups showed significant improvement in Lysholm, IKDC, and Tegner scores at 6 and 12 months (P<0.05 vs. preoperative), with no intergroup differences (P>0.05). In KOOS subscales, the three-in-one group had significantly lower scores than the ACL+ALS group in pain (88.89±5.75 vs. 94.77±3.79 at 6 months; 89.26±5.93 vs. 96.41±3.22 at 12 months) and sports/recreation (71.33±12.32 vs. 83.53±9.31 at 6 months; 73.67±13.43 vs. 88.24±8.65 at 12 months; P<0.05). Conclusions When the graft diameter is greater than or equal to 8 mm, both the three-in-one procedure and ACL combined with ALS reconstruction are effective for revision ACL reconstruction. However, patients who underwent three-in-one procedure experienced higher postoperative pain levels.",,,10.3760/cma.j.cn121113-20250103-00010
Letter to the Editor: Comparison of peroneus longus tendon and hamstring tendon autografts in arthroscopic ACL reconstruction,,Yuncu M.,International Orthopaedics (2025) 49:8 (2005-2006). Date of Publication: 1 Aug 2025,2025,1-Aug-25,,,40379871,10.1007/s00264-025-06557-6
Effect of diameter reduction by compression on peroneus longus allograft integrity: A biomechanical analysis,,"Calvo Rodriguez R., Gonzalez Duque W., Figueroa Poblete D., Itriago M., Calvo Mena R., Isla Villanueva J.",Journal of Orthopaedics (2025) 66 (346-350). Date of Publication: 1 Aug 2025,2025,1-Aug-25,"Background: There is broad consensus regarding the minimum required graft diameter in anterior cruciate ligament (ACL) reconstruction surgery; a diameter of at least 8 mm is recommended when using hamstring tendon grafts. However, it remains unclear what happens when a larger-diameter graft is compressed to a smaller diameter, and how this alteration may affect the biomechanical properties of the graft. The objectives is determine whether the biomechanical strength of compressed allografts is preserved after reducing their diameter, and whether compression techniques could be considered a viable option for smaller patients such as women and children. Our hypothesis is that a compressed graft may retain similar strength to the original, despite having a reduced diameter. Methods: This was a cadaveric biomechanical case-control study using 30 peroneus longus (PL) tendon allografts. The grafts were divided into three groups: Group 0 (8 mm uncompressed grafts), Group 1 (9 mm uncompressed grafts), and Group 2 (10 mm with a graft tube, compression to 9 mm). Each graft was tested using a Zwick/Roell Z005 tensile testing machine, undergoing cyclic loading between 50 and 250 N at 1 Hz for 1000 cycles, followed by continuous tensile loading to failure. The maximum failure force (Fmax) was recorded for each graft. Statistical analyses were performed using STATA v.18.5. Results: Group 1 (9 mm uncompressed grafts) showed a mean maximum failure force of 1902 N (SD: 432.12; 95 % CI). Group 2 (compressed grafts) showed a mean Fmax of 1608 N (SD: 233.12; 95 % CI), with a statistically significant difference between the two groups (p = 0.037). Group 0 (native 8 mm grafts) showed a mean Fmax of 1341 N (SD: 936.67; 95 % CI). No statistically significant difference was found between Group 0 and Group 2 (p = 0.196). Conclusions: The results indicate that the compressed group had lower resistance compared to the original 9 mm grafts. However, when compared to the smaller-diameter grafts, no significant difference in strength was observed. Nonetheless, the compressed grafts showed a tendency to withstand higher loads than the native 8 mm grafts.",,,10.1016/j.jor.2025.06.036
Functional Outcomes In Arthroscopic Anterior Cruciate Ligament Reconstruction Using Peroneus Longus Tendon Graft- Most Promising Autograft,,"Savery V.B., Shankarlal",International Journal of Life Sciences Biotechnology and Pharma Research (2025) 14:8 (250-256). Date of Publication: 1 Aug 2025,2025,1-Aug-25,"Introduction: Anterior cruciate ligament is a ligament structure comprising dense connective tissue mainly composed of parallel rows of fibroblasts and type 1 collagen it functions not like a simple tube of fibres at constant tension but as several groups of fibres undergoing successive stretching and relaxation during flexion extension for this reason. It is functionally and anatomically subdivided into anteromedial and posterolateral bundles. Anterior cruciate ligament (ACL) injuries are common sports injuries and one of the most commonly treated conditions of the knee in the young(.) Sports such as soccer account for most of these injuries in the world. Although ACL injuries are common, there is still considerable variation in their management. If left untreated, this may lead to functional instability, secondary osteoarthritis, and increased risk of further meniscal of same knee joint injuries. Aim: To Study Functional Outcome Of Arthroscopic Anterior Cruciate Ligament Reconstruction Using Peroneus Longus Tendon Graft At Tertiary Care Centre. Material and methods: The study was a prospective study conducted on a minimum of 34 patients in each group enlisting in the casualty or inpatient department of orthopaedics at Sri Lakshmi Narayana Institute of Medical Sciences medical college and tertiary health care centre. Only those patients satisfying the inclusion and exclusion criteria were included in the study. All the patients was explained about the surgical procedure, the purpose of the study and Informed consent was taken. Patients was evaluated on the basis of history, clinical examination and follow up for wound check, suture removal on 2(nd) week and range of motion and radiological work up on 3,6,9 month follow up. Functional outcome for Knee: 1) Tegner-Lysholm scoring system, 2) IKDC subjective assessment score. Functional outcome for ankle: 1) AOFAS score. Results: Mean age was 24.2+1.3years. Majority 65% were males. Common mode of injury was sports 58%, followed by motor bike accident 27%. Present study concludes that Arthroscopic Anterior Cruciate Ligament Reconstruction Using Peronius Longus Tendon Graft had an excellent functional Outcome. The morbidity was very less. Post operative thigh circumference difference as well as inversion and eversion of ankle was also negligible. Study states that the Peronius Longus Tendon Graft can be used as a potential graft in Anterior Cruciate Ligament Reconstruction surgery.",,,10.69605/ijlbpr_14.8.2025.46
Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies,,"Opoku M., Abdramane A.M., Abdirahman A., Fang M., Li Y., Xiao W.",Journal of orthopaedic surgery and research (2025) 20:1 (719). Date of Publication: 29 Jul 2025,2025,29-Jul-25,"PURPOSE: To perform a meta-analysis to compare and critically evaluate the short and medium-term clinical outcomes of peroneus longus tendon autograft and hamstring tendon autograft in anterior cruciate ligament (ACL) reconstruction. The study further evaluates the viability of the PLT autograft as a non-inferior alternative to the conventional HT autograft. METHOD: We independently searched the following electronic databases: PubMed, Cochrane Library, Embase, and Web of Science for all relevant articles from inception to March 2025, in only the English language. Clinical outcomes included: IKDC score, Lysholm score, Tegner score, Tegner-Lysholm score, Visual-Analog-Scale (VAS) score, American Orthopaedic Foot and Ankle Society (AOFAS) score, Modified Cincinnati score, graft diameter, thigh circumference, graft harvest time, Knee laxity & stability (Lachman test, Pivot Shift test, and Anterior Drawer test), and Donor-site morbidity. Funnel plots were used to detect publication bias. All statistical analysis was performed using R (version 4.1.3). RESULTS: A total of 25 studies, 9 RCTs, and 16 cohort studies containing 1944 patients were included in this analysis. No statistically significant differences were observed between PLT and HT autografts in functional outcomes, including Tegner scores, Lysholm scores, Tegner-Lysholm scores, VAS scores, or objective measures of knee stability and laxity across all follow-up periods. Notably, the PLT group demonstrated superior outcomes compared to the HT group, including significantly larger graft diameter, reduced graft harvesting time, improved Modified Cincinnati Scores at both 12- and 24-month follow-ups, and lower donor-site morbidity rates. Despite significantly higher IKDC scores in the PLT group at 6 months postoperatively, no significant differences were observed at 12-, and 18, 24, or 36-month follow-up. Conversely, PLT groups had slightly lower AOFAS scores at 12 or 24 months follow-up than the HT group. CONCLUSION: The PLT autograft demonstrates comparable clinical outcomes to HT autograft in ACL reconstruction while offering distinct advantages, including significantly larger graft diameter, reduced harvest time, and lower donor-site morbidity. These benefits, coupled with equivalent postoperative functional results, position the PLT autograft as a promising alternative to traditional HT autograft. Long-term follow-up and higher-quality studies are needed to support our results and further investigate the differences between PLT autograft and HT autograft. LEVEL OF EVIDENCE: Level III.",,40734172,10.1186/s13018-025-06080-9
