Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
3RQXUE8D,journalArticle,2025,"Aryana, I. Gusti Ngurah Wien; Prayudi, Ida Bagus Deny; Suyasa, I. Ketut; Subawa, I. Wayan; Febyan, null",No Difference in Ankle Morbidity Between the Leg with Peroneus Longus Used for ACL Reconstruction Autograft and the Contralateral Side 12 Months Postoperatively,Orthopedic Reviews,,2035-8164,10.52965/001c.144731,,"BACKGROUND: Anterior cruciate ligament (ACL) injuries often require surgical intervention. The use of the peroneus longus tendon in ACL reconstruction has been reported to offer significant potential benefits, such as preserving the hamstring tendons. However, its effects on the ankle must be considered prior to surgery. METHODS: This was a cross-sectional study evaluating ankle morbidity using the American Orthopedic Foot and Ankle Society (AOFAS) score, plantarflexion and eversion strength, and Clarke's angle on both extremities. Data were collected from patients who underwent ACL reconstruction using the peroneus longus tendon as an autograft. Statistical analysis was performed using the Mann-Whitney test with SPSS v.26. RESULTS: A total of 64 patients were included, with the mean AOFAS scores of 58.88 (donor side) and 70.12 (contralateral side). Mann-Whitney test results showed no significant difference in AOFAS scores between the two sides (p=0.085). The mean plantarflexion strength values were 62.23 (donor) and 66.77 (contralateral), with no significant difference (p=0.489). Additionally, the mean Clarke's angle values were 59.10 (donor) and 69.90 (contralateral), with no significant difference (p=0.099). CONCLUSION: There was no statistically significant difference in ankle function in patients who used the peroneus longus tendon as an autograft in ACL reconstruction.",2025,10/12/2025 8:42,10/12/2025 8:42,,144731,,,17,,Orthop Rev (Pavia),,,,,,,,eng,,,,,PubMed,,PMID: 41041434 PMCID: PMC12488067,,C:\Users\Danny\Zotero\storage\TXGHS7WG\Aryana et al. (2025).pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/41041434,,Ankle Morbidity; Anterior Cruciate Ligament; Autograft; Peroneus Longus Tendon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ7LIG7C,journalArticle,2025,"Soleymanha, Mehran; Soleymani Nejad, Amirali; Keyhani, Sohrab; Vosoughi, Fardis; LaPrade, Robert F.; Tollefson, Luke V.",Peroneus longus tendon harvest for ACL reconstruction yields good functional outcome of the ankle: A systematic review and meta-Analysis,"Knee surgery, sports traumatology, arthroscopy: official journal of the ESSKA",,1433-7347,10.1002/ksa.70079,,"PURPOSE: The peroneus longus tendon (PLT) has emerged as a promising autograft option for anterior cruciate ligament (ACL) reconstruction, but concerns persist regarding donor-site morbidity and ankle functional outcomes. This systematic review and meta-analysis aimed to evaluate ankle performance following PLT harvest for ACL reconstruction. METHODS: This systematic review and meta-analysis performed by searching five databases (PubMed, Embase, Web of Science, Scopus, and the Cochrane Library) up to March 2025. Inclusion criteria included: ACL reconstruction using PLT autograft, ≥6-month follow-up, and validated ankle outcomes (American Orthopaedic Foot And Ankle Society [AOFAS]/Foot and Ankle Disability Index [FADI] scores). Pooled effect sizes were calculated using random-effects models using R software (version 4.4.3). Heterogeneity was assessed via I² statistics, and risk of bias was evaluated using JBI checklists. RESULTS: Twenty articles (1024 patients) were identified, comprising eleven prospective cohort studies and nine randomised clinical trials (RCT), based on title, abstract, and quality assessments. Meta-analysis demonstrated excellent postoperative ankle function, with pooled AOFAS scores of 96.0 (95% confidence interval [CI]: 92.6-99.3) at 6 months, 96.1 (93.9-98.2) at 12 months, and 97.2 (93.9-100.6) at 24 months. FADI scores similarly improved to 97.4 (96.0-98.9) by 6 months and 99.4 (98.7-100.1) at 24 months. Meta-regression revealed no significant association between age and AOFAS outcomes (β = -0.23, p = 0.36). Minor complications (e.g., transient hypaesthesia) occurred in 13%-23% of patients but resolved within months. No studies reported major nerve injuries or ankle instability. CONCLUSION: Peroneus longus tendon harvest for ACL reconstruction yields minimal donor-site morbidity, with consistently high AOFAS/FADI scores across all age groups. These findings support the safety of PLT autografts, though heterogeneity is evident, and the predominance of male participants and the regional focus of studies, mainly Asian populations, may affect generalisability. LEVEL OF EVIDENCE: Level II.",9/30/2025,10/12/2025 8:42,10/12/2025 8:42,,,,,,,Knee Surg Sports Traumatol Arthrosc,Peroneus longus tendon harvest for ACL reconstruction yields good functional outcome of the ankle,,,,,,,eng,,,,,PubMed,,PMID: 41025611,,C:\Users\Danny\Downloads\Soleymanha et al. (2025).pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/41025611,,ACL reconstruction; ankle function; donor‐site morbidity; peroneus longus tendon; tendon harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAIL3V3A,journalArticle,2025,"Liang, Chi; He, Jinshen",Harvesting of Peroneus Longus Tendon Autograft,Journal of Visualized Experiments: JoVE,,1940-087X,10.3791/66390,,"Autografts are always used in anterior cruciate ligament (ACL) reconstruction. Traditional sources, such as hamstring tendons, bone-patellar tendon-bone, and quadriceps tendon, are popular choices but may result in muscle imbalances and dynamic differences in knee kinematics. The peroneus longus tendon (PLT) has emerged as an alternative autograft for ACL reconstruction, offering comparable functional outcomes and avoiding interference with the flexor-extensor complexes of the knee. However, concerns about donor site paresthesia and ankle dysfunction have been raised in PLT harvesting. This article presents a detailed protocol for safely and effectively obtaining this autograft. The protocol emphasizes critical steps, modifications, and potential troubleshooting methods. In this study, we assessed functional scores, donor paresthesia, and other complications in 20 patients six months after PLT harvesting. Our findings indicate that this protocol for PLT acquisition did not result in significant complications. Therefore, we confirm the effectiveness of this protocol and offer guidance on essential preoperative preparations and surgical techniques.",9/2/2025,10/12/2025 8:42,10/12/2025 8:42,,,,223,,,J Vis Exp,,,,,,,,eng,,,,,PubMed,,PMID: 40982415,,,http://www.ncbi.nlm.nih.gov/pubmed/40982415,,"Anterior Cruciate Ligament; Anterior Cruciate Ligament Reconstruction; Autografts; Humans; Tendons; Tissue and Organ Harvesting; Transplantation, Autologous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH8336V2,journalArticle,2025,"Karapinar, Sefa Erdem; Tas, Ahmet; Dincer, Assoc Prof Recep; Atay, Prof Tolga; Baydar, Prof Metin Lutfi; Kumbul, Hanim",An Evaluation of the Effect on Ankle Stability of the Peroneus Longus Tendon Graft Used in Anterior Cruciate Ligament Reconstruction,Orthopaedic Journal of Sports Medicine,,2325-9671,10.1177/23259671251371229,,"BACKGROUND: Previous studies have focused on the effect of the peroneus longus tendon graft on the knee; in this study, we focused on its impact on the ankle. Injuries to the anterior cruciate ligament (ACL) are frequently observed in sports injuries. The peroneus longus tendon graft has rapidly gained a place in the literature; however, very few studies have been conducted on the foot-ankle region stability of this tendon. PURPOSE: To investigate the effect on this region of the peroneus longus tendon graft used in anterior cruciate ligament reconstruction (ACLR). STUDY DESIGN: Case series, Level of evidence 4. METHODS: The study included 20 out of 35 patients who met the inclusion criteria and had ACLR using a peroneus longus tendon graft at the same orthopaedics and traumatology clinic between January and December 2023.The demographic characteristics of the patients were recorded. Ankle strength measurements were performed, and all the patients were tested with the Y test, the flamingo test, the eyes closed balance test, and the standing on tiptoes test. The Foot and Ankle Disability Index and the American Orthopedic Foot and Ankle Score were recorded. RESULTS: The dynamometer measurements of the donor side and the contralateral side were compared. No statistically significant difference was determined between the 2 sides with respect to the ankle eversion and plantar flexion strength measurements (P = .096, P = .835, respectively). A significant result was obtained in the flamingo test (P = .049). No statistically significant difference was determined between the 2 sides with respect to the anterior, posterior, and lateral distances of the Y test (78.8 vs 78.6 cm, P = .973; 96.6 vs 80.4 cm, P = .053; 89.5 vs 95.0 cm, P = .357, respectively). In the examination of ankle functionality, no statistically significant difference was determined in the Foot and Ankle Disability Index and the American Orthopedic Foot and Ankle Score of the 2 sides (P = .798, P = .206, respectively). CONCLUSION: The peroneus longus tendon can be safely used as an alternative autograft in ACLR without causing donor site morbidity. There may be a deficit in balance test performance.",2025-09,10/12/2025 8:42,10/12/2025 8:42,,2.32597E+16,,9,13,,Orthop J Sports Med,,,,,,,,eng,,,,,PubMed,,PMID: 40980563 PMCID: PMC12446790,,; C:\Users\Danny\Zotero\storage\QX9Y2ZUN\Karapinar et al. (2025).pdf,http://www.ncbi.nlm.nih.gov/pubmed/40980563,,anterior cruciate ligament; knee; meniscus; peroneus longus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSY546PS,journalArticle,2025,"Corrêa, Viktor Nelson M.; Freire, Pedro Guimaraes C.; Paolucci, Pedro Henrique O.; Marques de Oliveira, Victor; Mestriner, Marcos Barbieri; Guglielmetti, Luiz Gabriel B.; de Paula L Cury, Ricardo",Combined Anterior Cruciate Ligament and Posterolateral Corner Reconstruction: Modified Technique Using a Single Femoral Tunnel Using Hamstrings and Peroneus Longus Tendon,Arthroscopy Techniques,,2212-6287,10.1016/j.eats.2025.103557,,"Posterolateral corner (PLC) injuries are uncommon injuries often associated with anterior cruciate ligament (ACL) lesions. Several difficulties, including graft, femoral tunnel convergence, and the need for multiple fixation devices, complicate the combined ACL and PLC reconstruction. The purpose of this Technical Note is to describe a combined ACL and PLC reconstruction technique, using hamstrings and peroneus longus autologous grafts, in which the same femoral tunnel for the ACL and fibular collateral ligament reconstruction is used.",2025-07,10/12/2025 8:42,10/12/2025 8:42,,103557,,7,14,,Arthrosc Tech,Combined Anterior Cruciate Ligament and Posterolateral Corner Reconstruction,,,,,,,eng,,,,,PubMed,,PMID: 40822165 PMCID: PMC12350193,,C:\Users\Danny\Zotero\storage\XYDXVNCQ\Corrêa et al. (2025).pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/40822165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3ENBAB7,journalArticle,2025,"Calvo Rodriguez, Rafael; Gonzalez Duque, Waldo; Figueroa Poblete, David; Itriago, Minerva; Calvo Mena, Rafael; Isla Villanueva, Jorge",Effect of diameter reduction by compression on peroneus longus allograft integrity: A biomechanical analysis,Journal of Orthopaedics,,0972-978X,10.1016/j.jor.2025.06.036,,"BACKGROUND: There is broad consensus regarding the minimum required graft diameter in anterior cruciate ligament (ACL) reconstruction surgery; a diameter of at least 8 mm is recommended when using hamstring tendon grafts. However, it remains unclear what happens when a larger-diameter graft is compressed to a smaller diameter, and how this alteration may affect the biomechanical properties of the graft. The objectives is determine whether the biomechanical strength of compressed allografts is preserved after reducing their diameter, and whether compression techniques could be considered a viable option for smaller patients such as women and children. Our hypothesis is that a compressed graft may retain similar strength to the original, despite having a reduced diameter. METHODS: This was a cadaveric biomechanical case-control study using 30 peroneus longus (PL) tendon allografts. The grafts were divided into three groups: Group 0 (8 mm uncompressed grafts), Group 1 (9 mm uncompressed grafts), and Group 2 (10 mm with a graft tube, compression to 9 mm). Each graft was tested using a Zwick/Roell Z005 tensile testing machine, undergoing cyclic loading between 50 and 250 N at 1 Hz for 1000 cycles, followed by continuous tensile loading to failure. The maximum failure force (Fmax) was recorded for each graft. Statistical analyses were performed using STATA v.18.5. RESULTS: Group 1 (9 mm uncompressed grafts) showed a mean maximum failure force of 1902 N (SD: 432.12; 95 % CI). Group 2 (compressed grafts) showed a mean Fmax of 1608 N (SD: 233.12; 95 % CI), with a statistically significant difference between the two groups (p = 0.037). Group 0 (native 8 mm grafts) showed a mean Fmax of 1341 N (SD: 936.67; 95 % CI). No statistically significant difference was found between Group 0 and Group 2 (p = 0.196). CONCLUSIONS: The results indicate that the compressed group had lower resistance compared to the original 9 mm grafts. However, when compared to the smaller-diameter grafts, no significant difference in strength was observed. Nonetheless, the compressed grafts showed a tendency to withstand higher loads than the native 8 mm grafts.",2025-08,10/12/2025 8:42,10/12/2025 8:42,,346-350,,,66,,J Orthop,Effect of diameter reduction by compression on peroneus longus allograft integrity,,,,,,,eng,,,,,PubMed,,PMID: 40765794 PMCID: PMC12320093,,,http://www.ncbi.nlm.nih.gov/pubmed/40765794,,Allograft; Anterior cruciate ligament; Compressed graft; Graft diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX8W5CRJ,journalArticle,2025,"Yuncu, Murat",Broader perspective on the role of peroneus longus tendon in ligament reconstruction,World Journal of Orthopedics,,2218-5836,10.5312/wjo.v16.i7.107957,,"This article offers additional clinical and biomechanical insights into using the peroneus longus tendon (PLT) autograft in posterior cruciate ligament reconstruction. While recent studies report favorable knee outcomes, concerns remain regarding donor site morbidity. The PLT plays a key role in foot biomechanics, and its harvesting may lead to subtle changes, as suggested by imaging and pedobarographic studies. Tendon regeneration may limit long-term morbidity, but further studies are needed. We recommend that future research include gait analysis, long-term follow-up, and insights from anterior cruciate ligament literature.",7/18/2025,10/12/2025 8:42,10/12/2025 8:42,,107957,,7,16,,World J Orthop,,,,,,,,eng,,,,,PubMed,,PMID: 40698283 PMCID: PMC12278290,,,http://www.ncbi.nlm.nih.gov/pubmed/40698283,,Ankle; Autograft; Peroneus longus tendon; Reconstruction; Regenerative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK9V3HA8,journalArticle,2025,"Jorge, Pedro Baches; Toledo, Mariana Belaunde; Malpaga, Juliano Mangini Dias; Helito, Camilo Partezani; Canuto, Sérgio Marinho de Gusmão; Padua, Vitor Barion Castro de; Oliveira, Diego Escudeiro De",Anterior Cruciate Ligament Reconstruction and Double Extra-Articular Reinforcement,Arthroscopy Techniques,,2212-6287,10.1016/j.eats.2025.103456,,"This study describes a technique for double extra-articular reinforcement associated with anterior cruciate ligament (ACL) reconstruction for patients with both internal and external rotational instability, using reinforcements from the hamstrings and the anterior half of the peroneus longus muscle. The technique involves using 2 reinforcements: one for anterolateral stabilization and the other for anteromedial stabilization. The procedure follows a detailed algorithm for diagnosing rotational instability through physical examination under anesthesia. This approach offers a solution for complex ACL injuries involving bidirectional rotational instability, aiming to optimize knee stability and reduce failure rates in ACL reconstruction.",2025-05,10/12/2025 8:42,10/12/2025 8:42,,103456,,5,14,,Arthrosc Tech,,,,,,,,eng,,,,,PubMed,,PMID: 40547994 PMCID: PMC12177454,,C:\Users\Danny\Zotero\storage\JRE6X6MG\Jorge et al. (2025).pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/40547994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YQ5QUPMW,journalArticle,2025,"Kumar, Harsh; Chawla, Harjit Kanwar S.; Seth, Akshay; Mehta, Kshitij; Sahni, Girish; Sharma, Mudit; Mangoch, Ritanshu",Comparison of Surgical and Non-Surgical Treatment of Anterior Cruciate Ligament Injury in Middle-Aged Population: A Prospective Cohort Study,Cureus,,2168-8184,10.7759/cureus.84489,,"Background The anterior cruciate ligament (ACL) is one of the most commonly injured ligaments of the human body. The main mechanism of injury is usually when a pivoting injury occurs in which the tibia is translated anteriorly. At the same time, the knee is in a slight valgus and flexed attitude, and is predominantly found in contact sports like soccer. The variable symptoms that warrant medical attention usually include pain, swelling, knee giving way, difficulty ambulating, and reduced knee range of motion. The treatment usually depends on the patient's symptomatology, type of injury, the growth remaining in his or her growth plates, and activity goals. The purpose of the study is to determine the superior treatment modality for ACL injury in patients older than 40 years. Methodology The study was a prospective study conducted in the orthopedic outpatient department of a tertiary care center in northern India. A total of 60 patients were included in the study sample. Patients were divided into two treatment groups: Group A (n=30), consisting of conservatively managed patients, and Group B (n=30), consisting of surgically managed patients. Various symptoms during presentation were also noted in the study, which showed pain and instability as the predominant symptoms on presentation. Treatment modalities for ACL injury in our study include conservative management by physiotherapy and surgical management with ACL reconstruction using a peroneus longus autograft. The physiotherapy protocol and post-surgery rehabilitation protocol were kept the same to compare the outcome in both groups. The Lysholm knee scoring scale was used to calculate the functional outcome of conservatively and surgically managed groups before intervention and post-intervention at the first, third, sixth, and twelfth months. The data was collected and summarized in Microsoft Excel (Microsoft Corp., Redmond, WA) and analyzed with IBM Corp. Released 2012. IBM SPSS Statistics for Windows, Version 21.0. Armonk, NY: IBM Corp., using the ANOVA test, chi-square test, and paired t-test. A p-value of < 0.05 indicated a statistically significant difference. Results The study was conducted with two groups (group A: conservative; group B: surgical group) with comparable demographic profiles and slight male predominance, comparing the functional outcome of surgically and conservatively managed middle-aged patients with ACL injuries. The Lysholm knee scoring scale showed a poor pre-intervention score in both groups. This subsequently improved over a period of one year of study for both groups. After 12 months, a Lysholm Knee Score of 75.80±5.95 (group A) and 96.13±2.65 (group B), with a p-value of < 0.001, was noted, which showed a significantly superior functional outcome of surgical intervention in ACL injury as compared to conservative treatment in the study population. Conclusions Sixty patients over 40 years of age were taken up for the study, with more than two-thirds of the study population being male. The study showed the pre-intervention Lysholm knee scoring scale for both groups to be ""poor."" The score remained ""poor"" even after the first month post-intervention. After 12 months, a Lysholm Knee Score with an ""excellent"" outcome was noted in the surgical group (group B), which depicted an overall superior functional outcome of surgical intervention in ACL injury as compared to conservative treatment in the study population.",2025-05,10/12/2025 8:42,10/12/2025 8:42,,e84489,,5,17,,Cureus,Comparison of Surgical and Non-Surgical Treatment of Anterior Cruciate Ligament Injury in Middle-Aged Population,,,,,,,eng,,,,,PubMed,,PMID: 40539191 PMCID: PMC12178572,,C:\Users\Danny\Zotero\storage\P6P9T3WW\Kumar et al. (2025).pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/40539191,,acl rehabilitation; anterior cruciate ligament (acl); arthroscopic acl reconstruction; conservative and surgical treatment; functional outcome of acl reconstruction; tegner lysholm knee scoring scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZ3GABWZ,journalArticle,2025,"Singh, Mayank Pratap; Verma, Maneesh; Agrawal, Dhruvkumar Rakeshkumar; Gaur, Tribhuwan Narayan Singh; Maravi, Deepak S.; Dhanopeya, Ajay",Evaluation of Ankle Complications after Peroneus Longus Tendon Harvesting for ACL Reconstruction,Journal of Orthopaedic Case Reports,,2250-0685,10.13107/jocr.2025.v15.i06.5718,,"BACKGROUND: Anterior cruciate ligament (ACL) injuries are common and debilitating, often requiring surgical reconstruction. The peroneus longus tendon (PLT) is a promising autograft for ACL reconstruction, with less donor site morbidity than traditional grafts like bone-patellar tendon-bone and hamstring tendons. This study evaluates donor site ankle morbidity after PLT harvesting for ACL reconstruction. MATERIALS AND METHODS: A retrospective observational study at an Indian Government Medical College and Hospital from February 2023 to October 2024 involved 56 patients with symptomatic ACL tears who underwent arthroscopic ACL reconstruction using PLT grafts. Donor site morbidity was assessed preoperatively and postoperatively using the visual analog scale for foot and ankle (VAS-FA) and American orthopaedic Foot and Ankle society (AOFAS) scores at 14 days, 4 weeks, 12 weeks, and 6 months. Data were analyzed with repeated measures analysis of variance. RESULTS: Participants had a mean age of 36.8 years and an average injury duration of 13.3 months. Donor site morbidity occurred in 66.1% of patients, mainly as mild pain and swelling, which improved significantly over time. VAS-FA scores dropped from 7.52 preoperatively to 2.05 at 6 months, and AOFAS scores increased from 54.8 to 80.0. Chronic injury duration (over 16 months) was associated with poorer recovery, while preoperative pain, gender, graft size, and weight-bearing duration had no significant impact on recovery outcomes. CONCLUSION: PLT harvesting for ACL reconstruction leads to minimal donor site morbidity, with mild pain and swelling that improve over time. PLT grafts offer a promising alternative to traditional autografts, providing comparable outcomes and fewer complications. Larger studies with longer follow-up are needed to confirm these results.",2025-06,10/12/2025 8:42,10/12/2025 8:42,,207-212,,6,15,,J Orthop Case Rep,,,,,,,,eng,,,,,PubMed,,PMID: 40520747 PMCID: PMC12159622,,,http://www.ncbi.nlm.nih.gov/pubmed/40520747,,American Orthopedic Foot and Ankle Society score; Anterior cruciate ligament reconstruction; peroneus longus tendon; visual analog scale for foot and ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
