"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VD86A9QK","journalArticle","2025","Kumar, Krishan; Rao, Vikas; Panda, Amrit Kumar; Joshi, Deepak","Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction: A Systematic Review and Meta-analysis of Comparative Studies","Orthopaedic Journal of Sports Medicine","","2325-9671","10.1177/23259671251374313","","BACKGROUND: Anterior cruciate ligament reconstruction (ACLR) is a common orthopaedic procedure for which various graft options can be used. This systematic review and meta-analysis aimed to compare the efficacy of the peroneus longus tendon (PLT) and hamstring tendon (HT) autografts for primary ACLR. HYPOTHESIS: There would be no significant difference in patient outcomes between PLT and HT autografts in ACLR. STUDY DESIGN: Systematic review; Level of evidence, 3. METHODS: Adhering to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, a thorough literature search was conducted on February 10, 2024, across the PubMed, Cochrane CENTRAL, and Scopus databases. The aim was to identify comparative studies investigating the effectiveness of PLT and HT autografts for primary ACLR. The initial literature search retrieved 96 studies. Ten studies met the eligibility criteria for inclusion. Data analysis was performed using RevMan Version 5.4.1. Functional scores, graft characteristics, donor site morbidity, and failure rates were compared. RESULTS: Ten studies involving 949 patients were included. Both the PLT and HT groups showed comparable functional outcomes, knee stability, and graft failure rates. PLT autografts demonstrated a larger mean graft diameter (8.63 mm vs 8.08 mm) and lower incidence of donor site morbidity (7.48% vs 22.01%) than HT autografts. There was a statistically significant mean difference (MD) favoring PLT autografts in the modified Cincinnati score (MD, 3.33; 95% CI, 1.84 to 4.81; P < .0001) and thigh circumference (MD, -7.62 mm; 95% CI, -8.90 to -6.33; P < .00001). CONCLUSION: This review showed that both PLT and HT autografts are effective options for primary ACLR, with similar functional outcomes and knee stability. PLT autografts offer advantages in terms of graft diameter and donor site morbidity. Further research is warranted to confirm these findings and guide clinical decision-making in ACLR practice.","2025-09","2025-10-12 04:49:11","2025-10-12 04:49:11","","23259671251374313","","9","13","","Orthop J Sports Med","Peroneus Longus Tendon Versus Hamstring Tendon Autograft for Primary Anterior Cruciate Ligament Reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 40980562 PMCID: PMC12444037","","","http://www.ncbi.nlm.nih.gov/pubmed/40980562","","anterior cruciate ligament reconstruction; hamstring tendon; systematic review; meta-analysis; peroneus longus tendon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBSEX94X","journalArticle","2025","Opoku, Michael; Abdramane, Abakar Mahamat; Abdirahman, Ahmed; Fang, Mingqing; Li, Yusheng; Xiao, Wenfeng","Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction: a systematic review and meta-analysis of comparative studies","Journal of Orthopaedic Surgery and Research","","1749-799X","10.1186/s13018-025-06080-9","","PURPOSE: To perform a meta-analysis to compare and critically evaluate the short and medium-term clinical outcomes of peroneus longus tendon autograft and hamstring tendon autograft in anterior cruciate ligament (ACL) reconstruction. The study further evaluates the viability of the PLT autograft as a non-inferior alternative to the conventional HT autograft. METHOD: We independently searched the following electronic databases: PubMed, Cochrane Library, Embase, and Web of Science for all relevant articles from inception to March 2025, in only the English language. Clinical outcomes included: IKDC score, Lysholm score, Tegner score, Tegner-Lysholm score, Visual-Analog-Scale (VAS) score, American Orthopaedic Foot and Ankle Society (AOFAS) score, Modified Cincinnati score, graft diameter, thigh circumference, graft harvest time, Knee laxity & stability (Lachman test, Pivot Shift test, and Anterior Drawer test), and Donor-site morbidity. Funnel plots were used to detect publication bias. All statistical analysis was performed using R (version 4.1.3). RESULTS: A total of 25 studies, 9 RCTs, and 16 cohort studies containing 1944 patients were included in this analysis. No statistically significant differences were observed between PLT and HT autografts in functional outcomes, including Tegner scores, Lysholm scores, Tegner-Lysholm scores, VAS scores, or objective measures of knee stability and laxity across all follow-up periods. Notably, the PLT group demonstrated superior outcomes compared to the HT group, including significantly larger graft diameter, reduced graft harvesting time, improved Modified Cincinnati Scores at both 12- and 24-month follow-ups, and lower donor-site morbidity rates. Despite significantly higher IKDC scores in the PLT group at 6 months postoperatively, no significant differences were observed at 12-, and 18, 24, or 36-month follow-up. Conversely, PLT groups had slightly lower AOFAS scores at 12 or 24 months follow-up than the HT group. CONCLUSION: The PLT autograft demonstrates comparable clinical outcomes to HT autograft in ACL reconstruction while offering distinct advantages, including significantly larger graft diameter, reduced harvest time, and lower donor-site morbidity. These benefits, coupled with equivalent postoperative functional results, position the PLT autograft as a promising alternative to traditional HT autograft. Long-term follow-up and higher-quality studies are needed to support our results and further investigate the differences between PLT autograft and HT autograft. LEVEL OF EVIDENCE: Level III.","2025-07-29","2025-10-12 04:49:11","2025-10-12 04:49:11","","719","","1","20","","J Orthop Surg Res","Can peroneus longus tendon autograft become an alternative to hamstring tendon autograft for anterior cruciate ligament reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 40734172 PMCID: PMC12308993","","","http://www.ncbi.nlm.nih.gov/pubmed/40734172","","Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Reconstruction; Humans; Treatment Outcome; Hamstring Tendons; Tendons; Autografts; Transplantation, Autologous; Anterior cruciate ligament reconstruction; Meta-analysis; Clinical outcomes; Hamstring tendon autograft; Peroneus longus tendon autograft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4K9FF72","journalArticle","2024","Manit, Arora; Rohit, Rambani; Abhishek, Kini; Shukla, Tapish","Peroneus Longus Graft Harvest Does Not Affect Ankle Biomechanics: A Narrative Review","Indian Journal of Orthopaedics","","0019-5413","10.1007/s43465-024-01219-y","","The peroneus longus graft has gained much attention in recent years as a reliable autograft for primary ACL surgery. Critics have voiced concerns related to its impact on ankle biomechanics. The current review aims to synthesize the available literature on ankle biomechanics after peroneus harvest. The quantum of evidence available shows that PL harvest does not significantly impact ankle eversion or plantarflexion strength. Its impact on gait needs to be studied more deeply before any significant conclusions can be drawn.","2024-09","2025-10-12 04:49:11","2025-10-12 04:49:11","","1206-1212","","9","58","","Indian J Orthop","Peroneus Longus Graft Harvest Does Not Affect Ankle Biomechanics","","","","","","","eng","","","","","PubMed","","PMID: 39170663 PMCID: PMC11333782","","","http://www.ncbi.nlm.nih.gov/pubmed/39170663","","ACL; Graft; Ankle; Peroneus longus; Biomechanics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP2BD3KE","journalArticle","2024","Park, Jae Yong; Fernandes, André; Park, Shin Young; Lim, Hayeon; Sayudo, Iqbal Farhan; Leibovitch, Liron; Machinski, Elcio; Ha, Joon","Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction: a comprehensive systematic review and meta analysis","European Journal of Orthopaedic Surgery & Traumatology: Orthopedie Traumatologie","","1432-1068","10.1007/s00590-024-03984-w","","The hamstring tendon (HT) autograft is currently the most widely utilised autograft option for anterior cruciate ligament (ACL) reconstruction. However, recent studies endorse the peroneus longus tendon (PLT) autograft as a viable alternative. To evaluate this, we systematically reviewed randomised controlled trials (RCTs) to compare the efficacy of PLT against HT autografts. Our search encompassed Cochrane, Embase, OVID, PubMed, and Scopus databases for RCTs comparing outcomes of PLT and HT autografts in ACL reconstruction. Primary outcomes included Lysholm and International Knee Documentation Committee (IKDC) scores, while secondary outcomes involved American Orthopaedic Foot and Ankle Society (AOFAS) scores, graft diameters and donor-site complications. Statistical analysis was performed using Review Manager 5.4 (Cochrane Collaboration) and heterogeneity was assessed with I2 statistics. 683 patients from 6 RCTs were included, with 338 (49.5%) patients treated with PLT autografts. Follow-up ranged from 12 to 30 months. Despite lower preoperative Lysholm scores in the PLT group, no significant differences were observed at 6 and 12 months. Although preoperative and 6-month IKDC scores were lower in the PLT group, no significant differences were found at 12 and 24 months. AOFAS scores showed no significant preoperative difference, but slightly lower scores were noted in the PLT group at 12 or 24 months. There was no significant difference in graft diameter, while donor-site complications were fewer in the PLT group. In summary, the PLT autograft is a promising and non-inferior alternative to the HT autograft, demonstrating equivalent outcomes in patient-reported knee and ankle metrics, comparable graft diameters and fewer donor-site complications.","2024-07","2025-10-12 04:49:11","2025-10-12 04:49:11","","2691-2699","","5","34","","Eur J Orthop Surg Traumatol","Comparative effectiveness of peroneus longus tendon (PLT) autografts versus hamstring tendon (HT) autografts in anterior cruciate ligament reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 38755499 PMCID: PMC11291530","","C:\Users\Danny\Zotero\storage\RPMQRK35\Park et al. (2024).pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/38755499","","Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Reconstruction; Humans; Treatment Outcome; Autograft; Anterior cruciate ligament; Hamstring Tendons; Tendons; Autografts; Transplantation, Autologous; Hamstring tendon; Randomized Controlled Trials as Topic; Reconstruction; Peroneus longus tendon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBNPXZU9","journalArticle","2024","Delcogliano, Marco; Sangiorgio, Alessandro; Bensa, Alessandro; Andriolo, Luca; Boffa, Angelo; Filardo, Giuseppe","Platelet-rich plasma augmentation in anterior cruciate ligament reconstruction: Evidence is still too scattered. A scoping review of randomised controlled trials","Knee surgery, sports traumatology, arthroscopy: official journal of the ESSKA","","1433-7347","10.1002/ksa.12127","","PURPOSE: Platelet-rich plasma (PRP) augmentation has been proposed to improve the results of anterior cruciate ligament reconstruction (ACLR). The present study aims to quantify the available evidence to support the use of PRP as biological augmentation in ACLR surgery. METHODS: A systematic literature search was conducted on the PubMed, Cochrane, Web of Science and Embase databases on 10 March 2023. Inclusion criteria were randomised controlled trials (RCTs), written in English, addressing PRP augmentation in ACLR surgery, with no time limitation. A scoping review was performed to map the body of literature by examining the evidence related to specific aspects of patients' treatment and evaluation. Risk of bias evaluation was performed with the Cochrane risk-of-bias tool for randomised trials Version 2 (RoB 2), while the quality assessment was performed with the use of the Coleman Score. RESULTS: Out of 983 articles retrieved, 23 RCTs on 943 knees were included in this scoping review. PRP was administered in a liquid form in nine studies and clotted in 11 studies, while in three studies both liquid and clotted PRP were used. Hamstring auto/allografts were used in 14 studies, patellar tendon auto/allografts were used in eight studies and one study described ACLR with peroneus longus allografts. The map of the evidence documented high heterogeneity also in terms of surgical technique, objective and subjective outcome measures and radiological assessment, as well as follow-up times ranging from 1 day to 2 years, with virtually no overlapping data among studies neither in terms of treatments nor evaluations. Risk of bias evaluation showed an overall low quality of the included studies. CONCLUSIONS: The available literature addressing PRP augmentation in ACLR is largely scattered. PRP was produced and applied following different procedures, and high variability was detected across the included studies for every aspect of ACLR surgery and evaluation. Currently, a meaningful comparison of the available studies is not possible as the quantification of the literature results is biased by their heterogeneity. Future studies should provide more standardisation to investigate the benefits of biological augmentation in ACL surgery and confirm the promising yet weak evidence of PRP potential as well as the most suitable application modality, before routine use in clinical practice. LEVEL OF EVIDENCE: Levels I and II, scoping review.","2024-05","2025-10-12 04:49:11","2025-10-12 04:49:11","","1143-1159","","5","32","","Knee Surg Sports Traumatol Arthrosc","Platelet-rich plasma augmentation in anterior cruciate ligament reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 38488226","","C:\Users\Danny\Zotero\storage\JRU9DLKY\Delcogliano et al. (2024).pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/38488226","","Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Reconstruction; Humans; anterior cruciate ligament; reconstruction; Randomized Controlled Trials as Topic; Platelet-Rich Plasma; biological augmentation; platelet‐rich plasma (PRP); scoping review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y83JZFDA","journalArticle","2024","Viswanathan, Vibhu Krishnan; Iyengar, Karthikeyan P.; Jain, Vijay Kumar","The role of peroneus longus (PL) autograft in the reconstruction of anterior cruciate ligament (ACL): A comprehensive narrative review","Journal of Clinical Orthopaedics and Trauma","","0976-5662","10.1016/j.jcot.2024.102352","","BACKGROUND: Peroneus longus tendon (PLT) is a known graft utilised in the ligamentous reconstructions of knee. The current review was performed to analyze the available evidence regarding PLT in the arthroscopic anterior cruciate ligament (ACL) reconstruction. METHODS: A comprehensive search of literature was performed on March 1, 2023 using 5 databases (for manuscripts published between 2010 and 2023). All studies reporting ACL reconstruction with PL graft in adults ≥18 years were considered; and final studies were shortlisted based on specific exclusion criteria. RESULTS: The search identified 684 articles, among which 26 manuscripts were finally selected. PLT has been used in primary ACL reconstruction (ACLR), revision ACLR, ACLR in multiligamentous injuries and those at risk for anterior knee pain. The full-thickness PLT graft is variable in its dimensions with the mean size ranging between 7 and 8.8 mm (half-PLT grafts ≤8.1 mm). The ultimate strength of doubled PLT graft is significantly higher than native ACL and comparable to the quadrupled hamstring.There was statistically insignificant difference in the laxity and functional outcome of knee following ACLR with PLT, as compared with other autografts (p > 0.05). PLT harvest is associated with satisfactory clinical foot and ankle outcomes, as well as excellent regenerative ability. Overall, studies have demonstrated lower complications with PLT (p < 0.05). CONCLUSION: The dimensions of harvested PLT graft are more consistent than HT. It has similar functional outcome and survival, as compared to other autografts. It also has lower risk for donor-site morbidity and lower complications than HT. PLT is a promising, alternative autograft choice in patients undergoing ACLR.","2024-02","2025-10-12 04:49:11","2025-10-12 04:49:11","","102352","","","49","","J Clin Orthop Trauma","The role of peroneus longus (PL) autograft in the reconstruction of anterior cruciate ligament (ACL)","","","","","","","eng","","","","","PubMed","","PMID: 38356688 PMCID: PMC10862405","","","http://www.ncbi.nlm.nih.gov/pubmed/38356688","","Autograft; Anterior cruciate ligament; Peroneus longus; Ligament injury; Tendon graft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WCUMY9DR","journalArticle","2023","Saoji, A.; Arora, M.; Jain, G.; Shukla, T.","There is a Minimal Difference in Ankle Functional Outcomes After Peroneus Longus Harvest: Systematic Review and Meta-analysis","Indian Journal of Orthopaedics","","0019-5413","10.1007/s43465-023-00982-8","","IMPORTANCE: Recently, peroneus longus (PL) autograft as a graft choice for ligament surgeries have attracted interest due to studies showing good clinical outcomes and minimal donor site morbidity. There remain concerns related to these grafts, especially the potential impact on ankle functions. AIMS/OBJECTIVE: The purpose of this review and meta-analysis is to summarize the available evidence for ankle functional outcomes after PL harvest. This will provide objective clinical evidence for surgical decision making. EVIDENCE REVIEW: Cochrane, Embase, Medline, and Google Scholar were all searched for articles published between January 2001 and May 2021. For the aim of a systematic review, certain inclusion and exclusion criteria were adopted in accordance with PRISMA recommendations. The primary outcome measure was the assessment of ankle functional outcomes using validated instruments (such as AOFAS score, FADI score etc.). FINDINGS: A total of twelve studies representing pooled patient populations of 537 patients were included in this review. The average follow-up duration was 17 months (range; 6-32 months) across all studies. All twelve studies assessed AOFAS score and six studies also additionally assessed FADI score. The pooled mean outcomes measured showed a slight decrease in post-operative as compared to pre-operative AOFAS and FADI score (mean difference of AOFAS 1.92, 95% CI 1.021-3.123, p value < 0.05 and mean difference for FADI 1.50, 95% CI 0.561-2.445, p value < 0.05). Though statistically significant the magnitude of variance implies minimal clinical impact. CONCLUSION AND RELEVANCE: This review and meta-analysis found that PL autograft harvest leads to statistically significant but minimal impact on ankle functional outcomes. This, in conjunction with various studies on ankle parameters after PL harvest, shows that PL harvest leads to minimal impact on ankle outcomes and function. LEVEL OF EVIDENCE: Systematic review Level III.","2023-12","2025-10-12 04:49:11","2025-10-12 04:49:11","","1993-1999","","12","57","","Indian J Orthop","There is a Minimal Difference in Ankle Functional Outcomes After Peroneus Longus Harvest","","","","","","","eng","","","","","PubMed","","PMID: 38009168 PMCID: PMC10673779","","","http://www.ncbi.nlm.nih.gov/pubmed/38009168","","Anterior cruciate ligament; Meta-analysis; Systematic review; Peroneus longus autograft; ACL reconstruction autograft; Ankle function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF2U2VRR","journalArticle","2024","Quinn, Matthew; Byrne, Rory A.; Albright, J. Alex; Testa, Edward; Ahn, Benjamin; Lemme, Nicholas; Petit, Logan; Blankenhorn, Brad; Owens, Brett D.","Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction: A Systematic Review","Arthroscopy: The Journal of Arthroscopic & Related Surgery: Official Publication of the Arthroscopy Association of North America and the International Arthroscopy Association","","1526-3231","10.1016/j.arthro.2023.10.016","","PURPOSE: To examine the available literature to better understand the objective and patient-reported outcomes using peroneus longus tendon (PLT) autograft compared with more commonly used autografts, such as the quadrupled hamstring tendons (HT), in patients undergoing primary for anterior cruciate ligament reconstruction (ACLR). METHODS: A comprehensive search of published literature in PubMed, Web of Science, Cochrane Library, Ovid, and EMBASE databases was performed according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Inclusion criteria included patients undergoing ACLR with PLT autograft, inclusion of patient-recorded outcome measures, and availability in English language. Publications that included only biomechanical analysis or ACLR with use of allograft or combination grafts were excluded. RESULTS: A total of 16 studies (Level of Evidence range: I-IV) met inclusion criteria, with follow-up ranging from 3 months to 5 years. In the available case series, patient-reported outcomes ranged from Lysholm = 80.7 to 95.1, International Knee Documentation Committee 78.1 to 95.7. In prospective cohorts and randomized controlled trials, PLT performance was comparable with HT autografts (PLT/HT: Lysholm = 88.3-95.1/86.5-94.9, International Knee Documentation Committee = 78.2-92.5/87.4-93.4). The majority of PLT grafts diameters were equal or greater than HT counterparts with a mean of >8 mm (PLT/HT: 7.0-9.0 mm/7.65-8.5 mm). There was minimal donor-site morbidity associated with PLT harvest. CONCLUSIONS: Although limitations exist within the available literature, existing evidence suggests that PLT autograft routinely produces adequately sized grafts with comparable early outcomes to HT autograft and low risk of donor-site morbidity. However, the PLT autograft is yet to demonstrate superiority to any of the more-traditional autograft selections. LEVEL OF EVIDENCE: Level IV, systematic review of Level I-IV studies.","2024-04","2025-10-12 04:49:11","2025-10-12 04:49:11","","1366-1376.e1","","4","40","","Arthroscopy","Peroneus Longus Tendon Autograft May Present a Viable Alternative for Anterior Cruciate Ligament Reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 37898307","","","http://www.ncbi.nlm.nih.gov/pubmed/37898307","","Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Reconstruction; Humans; Treatment Outcome; Hamstring Tendons; Tendons; Autografts; Transplantation, Autologous; Patient Reported Outcome Measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW252GWQ","journalArticle","2022","Migliorini, Filippo; Pintore, Andrea; Vecchio, Gianluca; Oliva, Francesco; Hildebrand, Frank; Maffulli, Nicola","Hamstring, bone-patellar tendon-bone, quadriceps and peroneus longus tendon autografts for primary isolated posterior cruciate ligament reconstruction: a systematic review","British Medical Bulletin","","1471-8391","10.1093/bmb/ldac010","","INTRODUCTION: Several autografts are available to reconstruct the posterior cruciate ligament (PCL). SOURCE OF DATA: Current scientific literature published in PubMed, Google scholar, Embase and Scopus. AREAS OF AGREEMENT: Hamstring, bone-patellar tendon-bone (BPTB), quadriceps and peroneus longus (PLT) are the most common tendon autografts used for primary isolated PCL reconstruction. AREAS OF CONTROVERSY: The optimal tendon source for PCL reconstruction remains nevertheless debated. Identifying the most suitable tendon autograft could assist the surgeon during primary PCL reconstruction. GROWING POINTS: The present study compared the outcome of PCL reconstruction using hamstring, BPTB, quadriceps and PLT autografts. The focus was on patient-reported outcome measures (PROMs), joint laxity, range of motion and complications. AREAS TIMELY FOR DEVELOPING RESEARCH: All autografts are viable options for PCL reconstruction, with BTB and hamstring autografts demonstrating superior PROMs. However, further clinical investigations are required to determine the ideal autograft construct.","2022-07-09","2025-10-12 04:49:11","2025-10-12 04:49:11","","23-33","","1","142","","Br Med Bull","Hamstring, bone-patellar tendon-bone, quadriceps and peroneus longus tendon autografts for primary isolated posterior cruciate ligament reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 35460407 PMCID: PMC9351477","","","http://www.ncbi.nlm.nih.gov/pubmed/35460407","","Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Reconstruction; Humans; Tendons; Autografts; hamstring; Patellar Ligament; autograft; Posterior Cruciate Ligament Reconstruction; quadriceps; peroneus longus; bone-patellar tendon-bone; posterior cruciate ligament","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBKSBVXV","journalArticle","2022","Malige, Ajith; Baghdadi, Soroush; Hast, Michael W.; Schmidt, Elaine C.; Shea, Kevin G.; Ganley, Theodore J.","Biomechanical properties of common graft choices for anterior cruciate ligament reconstruction: A systematic review","Clinical Biomechanics (Bristol, Avon)","","1879-1271","10.1016/j.clinbiomech.2022.105636","","BACKGROUND: This systematic review explores the differences in the intrinsic biomechanical properties of different graft sources used in anterior cruciate ligament (ACL) reconstruction as tested in a laboratory setting. METHODS: Following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, two authors conducted a systematic review exploring the biomechanical properties of ACL graft sources (querying PubMed, Cochrane, and Embase databases). Using the keywords ""anterior cruciate ligament graft,"" ""biomechanics,"" and ""biomechanical testing,"" relevant articles of any level of evidence were identified as eligible and included if they reported on the biomechanical properties of skeletally immature or mature ACL grafts solely and if the grafts were studied in vitro, in isolation, and under similar testing conditions. Studies were excluded if performed on both skeletally immature and mature or non-human grafts, or if the grafts were tested after fixation in a cadaveric knee. For each graft, failure load, stiffness, Young's modulus, maximum stress, and maximum strain were recorded. FINDINGS: Twenty-six articles were included. Most studies reported equal or increased biomechanical failure load and stiffness of their tested bone-patellar tendon-bone, hamstring, quadriceps, peroneus longus, tibialis anterior and posterior, Achilles, tensor fascia lata, and iliotibial band grafts compared to the native ACL. All recorded biomechanical properties had similar values between graft types. INTERPRETATION: Most grafts used for ACL reconstruction are biomechanically superior to the native ACL. Utilizing a proper graft, combined with a standard surgical technique and a rigorous rehabilitation before and after surgery, will improve outcomes of ACL reconstruction.","2022-05","2025-10-12 04:49:11","2025-10-12 04:49:11","","105636","","","95","","Clin Biomech (Bristol)","Biomechanical properties of common graft choices for anterior cruciate ligament reconstruction","","","","","","","eng","","","","","PubMed","","PMID: 35428007","","","http://www.ncbi.nlm.nih.gov/pubmed/35428007","","Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Reconstruction; Humans; Autograft; Anterior Cruciate Ligament; Hamstring Muscles; Biomechanical Phenomena; Patellar Ligament; Reconstruction; Biomechanics; Anterior; Cruciate; Ligament","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
